N-deposition	mg N/m2/year		im = 72		jm = 48		year1860			

	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
	0.17	0.17	0.64	0.75	0.9	1.32	1.42	0.95	0.31	0.16
	0.13	0.15	0.18	0.22	0.27	0.32	0.42	0.41	0.31	0.26
	0.23	0.23	0.23	0.21	0.35	0.48	0.37	0.17	0.16	0.16
	0.18	0.2	0.22	0.22	0.21	0.17	0.14	0.11	0.09	0.1
	0.11	0.11	0.11	0.12	0.12	0.12	0.11	0.11	0.1	0.1
	0.1	0.1	0.1	0.11	0.12	0.12	0.13	0.13	0.12	0.12
	0.13	0.14	0.14	0.14	0.15	0.16	0.16	0.17	0.17	0.17
	0.18	0.27	0.4	0.45	1.18	1.31	1.37	1.31	1.39	0.74
	0.53	0.16	0.13	0.16	0.2	0.28	0.37	0.46	0.57	0.57
	0.43	0.28	0.23	0.24	0.8	0.7	0.79	0.85	0.57	0.5
	0.3	0.37	0.57	0.44	0.19	0.25	0.26	0.23	0.16	0.1
	0.1	0.13	0.14	0.12	0.1	0.1	0.11	0.11	0.12	0.12
	0.13	0.14	0.15	0.15	0.14	0.13	0.12	0.12	0.11	0.12
	0.11	0.11	0.11	0.11	0.11	0.13	0.13	0.13	0.16	0.16
	0.16	0.17	0.42	0.98	1.05	1.03	1.6	1.62	1.81	1.67
	1.54	1.57	1.82	1.76	2.16	2.02	2.02	1.53	0.76	0.87
	2.87	2.56	0.79	0.56	0.41	0.55	0.95	0.66	0.69	1.19
	1.67	1.25	1.11	1.21	1.25	1.03	0.76	0.88	0.29	0.28
	0.2	0.13	0.13	0.17	0.15	0.11	0.09	0.1	0.12	0.14
	0.15	0.15	0.14	0.14	0.14	0.14	0.17	0.16	0.12	0.13
	0.14	0.14	0.15	0.17	0.18	0.21	0.2	0.21	0.2	0.23
	0.28	0.23	0.22	0.21	0.21	0.92	1.03	1.27	2.49	3.06
	3.07	2.7	2.74	3.18	3.77	3.92	3.32	3.05	2.45	2.39
	2.66	2.61	2.66	2.86	2.2	4.19	4.02	3.51	3.67	4.35
	2.99	0.87	2.26	1.21	1.79	1.76	1.91	1.9	1.85	1.63
	1.49	1.04	0.73	0.78	0.6	0.78	0.88	1.67	2.15	1.42
	0.3	0.28	0.2	0.19	0.15	0.16	0.19	0.18	0.28	0.26
	0.17	0.16	0.19	0.29	0.38	0.41	0.55	0.61	0.5	0.44
	0.42	0.45	0.46	0.42	0.47	0.44	0.78	1.07	1.76	2.04
	4.29	4.77	5.01	4.59	4.07	4.71	4.35	4.56	4.11	3.82
	3.4	3.14	3.55	3.33	3.65	3.64	3.63	3.56	3.4	3.52
	3.64	5.34	5.39	2.35	2.58	1.88	2.06	2.09	2.04	2.11
	1.92	2.3	2.11	2.26	2.18	1.84	2.05	2.67	1.99	2.57
	3.48	3.2	2.76	3.33	2.82	1.74	0.33	0.33	0.28	0.43
	1.11	0.99	0.88	0.29	0.28	0.36	0.38	0.52	0.75	0.9
	0.88	0.85	0.78	0.71	0.72	1.08	1.96	2.37	2.34	3.36
	3.86	4.21	6.21	5.99	4.37	4.25	4.55	3.58	4.28	3.89
	3.82	3.46	3.34	3.39	4.52	5.05	5.13	4.65	3.8	3.81
	3.5	2.88	2.52	2.19	5.11	5.08	1.71	1.07	2.22	2.58
	3.13	2.76	2.94	3.44	3.11	3.08	3.3	3.58	3.76	3.92
	4.01	4.04	4.22	4.11	4.4	4.43	5.17	5.92	5.95	4.5
	4.49	4.3	3.92	3.73	3.13	2.76	2.57	2.4	2.52	2.77
	2.87	3.42	3.83	3.8	3.98	4.04	3.97	4.91	4.2	4.61
	5.19	5.73	5.69	4.88	8.13	7.73	6.35	4.91	5.14	4.71
	4.33	5.33	5.34	6.43	7.09	6.96	7.15	6.71	7.56	7.04
	7.12	7.01	5.8	5.31	4.19	4.64	3.72	4	3.77	2.73
	3.45	3.08	3.28	3.44	3.6	4.25	5.17	4.09	4.26	4.44
	4.66	4.83	5.06	5.35	5.85	5.4	5.48	5.43	5.71	6.62
	7.37	6.79	7.12	6.67	6.87	6.45	5.01	4.15	4.28	3.83
	4.12	4.63	5.1	5.93	5.51	6.2	6.11	6.11	6.82	7.34
	6.98	6.16	7.24	7.11	6.81	6.51	7.32	7.15	7.23	7.01
	5.97	4.88	5.67	6.49	6.66	6.33	7.59	9.01	8.77	9.27
	9.59	9	8.47	7.18	6.99	6.47	6.57	9.03	6.71	4.99
	4.98	4.53	4.63	4.79	5.09	4.01	4.29	4	3.84	3.85
	4.25	4.32	4.21	4.21	4.3	4.68	3.98	4.95	5.61	5.82
	6.42	6.44	6.75	6.3	6.36	6.12	5.82	4.99	4.23	5.39
	5.03	4.46	4.17	4.46	3.93	4.74	5	5.45	5.52	5.29
	6.13	5.53	6.65	6.49	5.88	6.66	7.13	6.86	8.96	9.63
	9.54	8.38	7.83	6.87	7.24	7.43	7.67	8.26	9.69	9.61
	8.93	9.88	11.65	10.76	9.57	8.91	7.64	8.23	9.52	16.69
	8.77	4.07	4.68	4.29	4.46	4.63	6.17	5.99	6.36	6.2
	6.79	5.25	4.8	4.37	4.76	4.66	4.71	3.99	4.67	6.32
	7.96	8.32	8.71	9.7	9.97	9.62	8.37	8.15	7.43	5.85
	5.58	6.44	6.88	7.29	6.1	5.75	5.33	5.93	7.11	8.38
	9.11	9.2	9.68	9.08	11.19	11.26	10.23	11	9.81	7.71
	6.67	6.68	11	9.68	9.04	8.37	9	9.66	9.16	7
	6.89	7.19	6.82	7.08	7.11	8.21	7.27	5.92	6.19	5.58
	9.17	18.71	3.59	9.58	1.03	4.5	5.22	7.2	7.34	7.81
	7.21	6.2	6.08	6.15	4.42	3.82	5.1	4.53	4.24	5.16
	6.57	8.73	11.08	12.14	13.23	11.05	11.59	11.97	8.87	10
	6.41	6.63	7.71	9.3	10.88	12.02	10.29	8.55	7.28	8.33
	9.02	12.5	12.94	14.11	12.18	13.72	13.78	14.07	13.77	13.73
	10.25	4.72	9.06	10.92	10.85	8.76	8.06	6.37	7.27	6.92
	7.06	7.54	5.93	6.39	6.03	6.57	6.51	6.44	6.53	5.86
	5.58	4.74	3.96	15.42	-0.97	7.56	2.38	7.84	8.47	9.85
	6.91	7.79	8.66	8.14	7.67	7.19	4.88	4.03	5.65	5.42
	5.84	6.77	8.48	9.12	9.52	12.77	13.72	12.38	9.88	10.92
	10.19	8.99	8.15	8.37	9.11	10.55	12.05	11.87	12.57	11.64
	12.77	12.27	11.13	12.97	15.52	17.66	15.87	17.63	20.5	17.86
	17.44	35.68	117.87	14.76	11.14	10.52	9.79	6.55	5.99	5.66
	7.3	5.79	5.61	6.16	5.27	4.23	4.22	4.71	5.27	5.17
	4.84	4.3	2.21	0.91	-0.04	6.21	0.08	8.33	4.35	9.07
	12.11	9.36	10.04	12.42	9.37	8.6	7.54	7.56	7.82	6.3
	4.1	4.07	6.51	7.58	8.72	5.76	11.19	12.35	12.38	11.66
	9.27	13.06	12.99	10.43	7.93	6.97	7.5	7.81	7.41	6.89
	6.66	5.64	6.76	6.17	6.39	11.59	14.11	12.62	14.61	59.35
	25.22	24.18	20.29	14.88	65.32	78.97	11	7.02	6.62	6.27
	7.19	6.22	7.07	6.15	6.06	7.01	4.76	3.4	5.22	4.04
	6.73	6.81	6.43	4.7	1.97	0	-0.76	3.14	0.62	10.46
	26.71	18.27	23.26	16.19	16.67	17.16	15.25	13.49	11.65	11.47
	8.02	8.53	7.44	6.48	5.71	7.1	13.36	9.3	11.96	15.14
	15.67	12.54	10.7	11.45	10.35	9.55	7.08	5.86	6.82	5.96
	3.78	3.28	3.41	3.22	4.19	5.42	9.69	12.73	10.25	11.51
	78.27	151.43	51.97	31.43	19.51	11.48	14.44	99.52	17.09	-1.47
	5.28	5.99	7.18	7.13	9.59	8.39	9.45	11.08	8.55	10.26
	11.45	9.48	11.73	10.24	6.64	5.08	2.02	0.47	1.21	8.25
	30.53	25.11	47.39	56.87	27.69	23.38	19.58	22.1	14.14	9.28
	6.65	7.91	5.29	6.03	1.28	-0.89	-3.99	-2.72	6.57	14.69
	13.04	14.44	4.15	3.36	6.61	7.92	0.46	-3.1	1.68	1.65
	0.46	-1.11	-0.33	-0.22	-0.45	-0.83	-3.38	10.97	12.27	11.49
	12.63	28.79	101.87	129.2	63.54	29.23	19.76	10.64	17.13	23.2
