NHx-deposition	mg N/m2/year		im = 72		jm = 48		year2050			

	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
	0.15	0.15	0.56	0.66	0.73	1.21	1.33	0.9	0.28	0.14
	0.13	0.15	0.18	0.22	0.26	0.31	0.38	0.37	0.27	0.24
	0.22	0.23	0.26	0.25	0.42	0.6	0.45	0.18	0.16	0.16
	0.18	0.21	0.24	0.25	0.24	0.18	0.14	0.11	0.11	0.11
	0.11	0.11	0.11	0.11	0.1	0.1	0.09	0.09	0.09	0.08
	0.08	0.08	0.09	0.09	0.09	0.1	0.1	0.1	0.11	0.11
	0.12	0.12	0.13	0.14	0.15	0.17	0.17	0.17	0.15	0.13
	0.14	0.23	0.32	0.35	1.11	1.23	1.26	1.13	1.17	0.62
	0.46	0.13	0.12	0.14	0.19	0.27	0.36	0.45	0.56	0.56
	0.4	0.25	0.2	0.22	0.87	0.76	0.85	0.89	0.55	0.53
	0.32	0.4	0.58	0.43	0.21	0.27	0.27	0.25	0.15	0.12
	0.14	0.17	0.15	0.12	0.1	0.09	0.09	0.09	0.1	0.1
	0.11	0.11	0.12	0.11	0.11	0.1	0.1	0.09	0.09	0.09
	0.09	0.1	0.1	0.11	0.11	0.12	0.13	0.13	0.16	0.15
	0.12	0.12	0.33	0.91	0.95	0.94	1.68	1.66	1.78	1.57
	1.37	1.44	1.67	1.63	2	1.79	1.78	1.41	0.75	0.86
	2.57	2.35	0.78	0.55	0.4	0.57	1.01	0.7	0.72	1.31
	1.81	1.3	1.22	1.38	1.4	1.13	0.85	0.88	0.36	0.34
	0.23	0.16	0.17	0.16	0.13	0.12	0.12	0.1	0.12	0.12
	0.12	0.13	0.13	0.14	0.15	0.14	0.15	0.13	0.1	0.11
	0.11	0.11	0.12	0.15	0.18	0.21	0.18	0.19	0.17	0.22
	0.28	0.22	0.2	0.16	0.15	0.9	1.06	1.3	2.63	3.01
	3.05	2.72	2.79	3.19	3.69	3.66	3.03	2.8	2.3	2.19
	2.43	2.45	2.47	2.65	2.08	3.87	3.8	3.27	3.44	4.08
	2.91	0.88	2.51	1.42	2.06	2.1	2.31	2.44	2.42	2.22
	1.86	1.25	0.8	0.94	0.79	0.85	1.02	1.94	2.52	1.76
	0.35	0.34	0.19	0.17	0.16	0.14	0.17	0.15	0.25	0.19
	0.13	0.13	0.16	0.26	0.36	0.42	0.56	0.62	0.51	0.45
	0.44	0.47	0.46	0.43	0.48	0.4	0.74	0.98	1.75	2.01
	4.19	4.7	4.89	4.53	4.01	4.57	4.22	4.37	3.84	3.51
	3.12	2.95	3.34	3.2	3.44	3.36	3.37	3.43	3.28	3.41
	3.49	4.97	5.08	2.37	2.67	2.03	2.34	2.35	2.37	2.68
	2.56	3.19	2.95	3	2.83	2.52	2.89	3.62	2.37	3.01
	4.01	3.77	3.2	3.76	3.19	2.15	0.39	0.32	0.23	0.39
	1.09	0.85	0.85	0.26	0.26	0.36	0.36	0.52	0.77	0.93
	0.88	0.87	0.78	0.68	0.71	1.1	1.97	2.33	2.32	3.25
	3.86	4.08	6.19	5.8	4.23	4.14	4.32	3.38	4.14	3.72
	3.65	3.3	3.13	3.1	4.3	4.89	4.73	4.3	3.46	3.45
	3.26	2.67	2.26	1.95	4.55	4.56	1.76	1.33	2.65	3.04
	3.93	3.8	4.24	4.78	4.48	4.36	4.42	4.62	5.09	5.3
	5.72	5.58	5.51	5.04	5.51	5.69	6.34	7.05	7.43	5.54
	5.51	5.07	4.61	4.54	3.55	3.11	2.89	2.68	2.86	3.16
	3.17	3.6	4.06	3.91	4.18	4.18	4.02	5.14	4.38	4.67
	5.23	5.84	5.78	4.81	8.17	7.6	6.24	4.72	4.94	4.49
	4.01	4.83	5.13	6.29	6.84	6.77	6.81	6.3	6.83	6.25
	6.28	6.29	5.15	4.73	3.66	3.98	3.26	4.64	4.34	3.42
	5.11	4.79	5.93	5.73	5.66	6.35	7.34	6.28	6.35	6.3
	6.34	6.41	6.69	7.12	7.65	7.21	7.27	7.06	7.02	8.19
	9.6	9.35	9.99	9.12	9.06	8.13	6.12	4.91	5.22	4.54
	4.9	5.43	5.67	6.53	5.92	6.7	6.63	6.41	7.11	7.52
	7.13	6.17	7.1	7.08	6.78	6.64	7.32	7.14	7.12	6.8
	5.69	4.52	5.09	5.7	5.98	5.93	7.2	8.44	8.12	8.6
	8.61	7.9	7.31	5.98	5.74	5.3	5.52	9.16	11.1	6.97
	6.69	7.36	7.66	7.4	8.23	7.27	7.48	7.07	6.93	6.26
	6.34	6.21	6.04	6.06	6.39	6.85	5.82	6.54	7.22	7.82
	8.69	8.96	9.04	8.41	8.93	8.41	7.74	6.41	5.84	7.29
	6.52	5.67	5.32	5.52	4.8	5.59	5.55	5.74	5.57	5.21
	6	5.24	6.5	6.22	5.92	6.73	7.32	6.85	8.98	9.74
	9.31	8.05	7.55	6.61	6.69	6.71	7.11	7.7	9.13	8.91
	8.12	8.44	10.2	9.33	7.94	7.3	5.87	6.51	8.3	89.76
	318.53	24.38	17.7	10.17	9.31	9.08	10.49	10.4	10.63	9.68
	9.96	7.76	7.02	6.53	7.32	6.99	6.52	5.28	6.07	7.93
	9.89	10.86	12.04	13	13.77	13.03	11.55	11.08	9.36	6.98
	6.6	7.88	8.57	8.96	7.08	6.81	6.28	6.52	7.51	8.61
	9.21	8.87	9.02	8.55	10.87	11.03	10.45	11.53	10.15	7.56
	6.35	6.5	10.52	9.05	8.32	7.4	7.92	8.47	7.94	6.14
	5.9	6.04	5.64	5.3	5.53	6.34	5.34	4.1	4.27	3.89
	7.3	189.41	590.73	59.28	19.65	13.9	14.71	15.45	14.91	14.2
	12.75	10.87	10.17	9.8	7.49	6.41	8.16	6.65	5.82	5.95
	7.21	9.86	14.19	15.55	17.44	14.76	16.5	17.04	11.81	12.44
	8.17	8.02	8.93	10.75	12.47	12.89	10.73	9	7.47	8.57
	9.22	12.79	12.44	13.14	11.55	13.02	13.09	13.12	13.41	14.4
	12.3	4.73	9.09	10.78	9.87	7.64	6.77	5.19	5.71	5.44
	5.69	6.04	4.45	4.48	4.2	4.63	4.53	4.1	4.03	3.56
