NOy-deposition	mg N/m2/year		im = 72		jm = 48		year2050			

	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
	0.3	0.3	1.05	1.21	1.41	1.76	1.72	1.1	0.46	0.22
	0.16	0.18	0.19	0.24	0.3	0.38	0.49	0.45	0.35	0.3
	0.32	0.35	0.28	0.24	0.32	0.39	0.38	0.27	0.27	0.3
	0.34	0.37	0.39	0.39	0.38	0.32	0.26	0.2	0.16	0.17
	0.19	0.22	0.23	0.24	0.25	0.25	0.24	0.23	0.21	0.2
	0.2	0.2	0.21	0.23	0.24	0.26	0.26	0.26	0.24	0.23
	0.23	0.24	0.24	0.24	0.23	0.23	0.23	0.24	0.27	0.33
	0.36	0.49	0.73	0.8	1.48	1.63	1.73	1.66	1.73	0.99
	0.65	0.21	0.16	0.19	0.21	0.27	0.32	0.35	0.4	0.43
	0.4	0.32	0.31	0.33	0.71	0.64	0.65	0.86	0.66	0.52
	0.31	0.36	0.66	0.57	0.33	0.51	0.56	0.49	0.31	0.19
	0.18	0.26	0.32	0.27	0.21	0.21	0.23	0.23	0.24	0.24
	0.24	0.27	0.3	0.29	0.27	0.25	0.24	0.23	0.22	0.23
	0.22	0.21	0.18	0.17	0.18	0.2	0.21	0.21	0.24	0.26
	0.3	0.36	0.75	1.5	1.56	1.45	1.34	1.55	1.7	1.71
	1.75	1.87	2.19	2.14	2.55	2.47	2.33	1.64	0.57	0.59
	2.88	2.7	0.62	0.47	0.38	0.47	0.76	0.58	0.58	0.96
	1.55	1.31	0.89	0.96	1.08	1.03	0.93	1.16	0.61	0.62
	0.44	0.27	0.25	0.37	0.34	0.24	0.19	0.19	0.27	0.31
	0.32	0.3	0.26	0.27	0.25	0.25	0.32	0.31	0.22	0.24
	0.27	0.28	0.27	0.23	0.2	0.25	0.28	0.33	0.33	0.33
	0.38	0.36	0.38	0.42	0.43	1.2	1.06	1.12	2.41	3.01
	3.19	2.62	2.59	3.28	3.74	4.04	3.31	3.35	2.74	2.79
	3.03	2.94	3.28	3.11	2.04	4.4	4.17	3.68	3.92	4.81
	3.15	0.63	1.76	1.07	1.21	1.23	1.25	1.21	1.47	1.58
	1.74	1.58	1.39	1.11	1.04	1.22	1.2	1.79	2.33	2.01
	0.56	0.61	0.39	0.39	0.37	0.36	0.39	0.34	0.41	0.54
	0.33	0.3	0.34	0.42	0.39	0.33	0.47	0.6	0.62	0.59
	0.59	0.59	0.6	0.54	0.6	0.6	0.95	1.26	1.73	2.01
	4.46	5.33	5.45	4.81	4.28	4.93	4.76	5.03	4.63	4.5
	3.87	3.55	4.21	3.91	4.29	4.36	4.01	3.75	3.47	3.29
	3.56	5.32	5.29	1.96	2.2	1.63	1.63	1.75	1.7	1.64
	1.75	2.17	2.21	2.65	2.88	2.45	2.65	3.16	2.09	2.43
	3.53	3.47	2.94	3.36	3.23	2.36	0.78	0.72	0.52	0.67
	1.48	1.48	1.31	0.47	0.46	0.51	0.46	0.53	0.68	0.77
	0.9	0.91	0.87	0.88	0.88	1.34	2.2	2.86	2.78	3.8
	4.2	4.35	8.36	7.71	6.48	5.94	6	6	6.39	7.21
	6.8	6.56	6.94	7.34	7.48	6.83	6.68	6.17	5.52	5.53
	5.46	4.87	4.68	4.68	6.91	6.58	2.73	2.71	2.38	2.89
	3.92	4.03	3.9	4.71	4.28	4.19	4.36	4.56	4.58	4.93
	5.59	5.43	5.48	4.88	5.23	5.67	6.45	7.55	9.31	7.14
	7.43	6.21	5.38	5.28	4.1	3.76	3.64	3.77	4.58	4.73
	4.62	4.8	5.51	5.46	6.2	6.33	5.6	6.91	5.49	5.64
	5.86	6.73	7.01	7.05	11.45	9.77	8.84	7.96	7.88	7.93
	7.44	8.92	8.06	8.02	9.02	9.16	9.46	8.66	9.44	8.8
	8.64	8.31	7.58	8.2	7.43	7.54	6.14	6.88	6.27	4.62
	5.68	5.33	6.27	5.82	5.66	6.52	7.25	5.86	5.78	5.6
	5.49	5.71	6.11	6.74	7.6	8.02	8.23	8.05	8.04	10.95
	15.4	15.9	17.16	14.49	13.41	10.93	8.01	7.56	7.98	7.15
	7.79	8.1	7.83	8.83	8.06	8.98	9.59	9.13	9.47	9.69
	8.77	7.28	9.58	10.34	11.16	10.84	12.71	11.52	10.82	10.69
	9.13	8.53	8.89	9.76	9.61	9.32	10.91	12.77	11.49	11.01
	11.33	10.43	10.03	9.65	9.83	9.56	9.55	12.09	10.43	9.78
	9.27	8.64	8.61	9.24	10.11	9.48	9.22	8.76	9.3	9.52
	8.94	7.09	7.55	8.24	8.62	9.25	8.26	9.19	10.41	12.5
	14.84	17.33	17.66	17.11	18.24	16.5	14.88	12.96	13	14.8
	13.21	11.64	11.09	11.01	9.87	11.01	11.8	11.33	11.23	10.8
	11.77	10.72	12.26	11.42	11.75	12.98	13.37	12.27	15.57	14.59
	13.3	12.73	12.72	12.48	13.04	12.34	11.84	11.59	12.71	12.56
	12.06	13.16	12.9	11.82	11.49	11.15	10.46	11.02	12.41	22.56
	29.97	15.84	12.01	11.27	11.85	11.95	13.02	12.62	12.54	11.79
	12.33	11	9.57	9.21	9.85	9.22	8.65	7.55	8.81	11.65
	15.22	18.41	23.07	27.35	29.3	27.92	24.81	22.92	19.46	14.83
	12.75	14.03	15.26	15.94	13.62	13.49	12.48	12.97	14.41	16.44
	16.5	16.66	16.74	15.53	18.11	18.31	20.92	21.34	19.61	15.2
	17.25	15.58	15.23	13.98	13.08	12.44	13.77	14.52	13.52	12.5
	11.49	11.82	11.94	11.64	10.81	10.77	10.69	9.56	9.72	9.36
	13.68	27.6	19.46	16.13	13.72	18.21	19.98	20.27	19.03	18.83
	18.37	15.67	14.74	14.35	12.54	11.06	12.51	10.32	9.67	10.08
	12.62	18.64	25.8	33.17	39.54	39.59	43	41.87	29.19	30.04
	23.28	22.71	20.3	21.08	23.61	21.69	21.84	17.56	16.46	19.11
	21.45	25.4	23.76	25.25	22.66	24.71	26.09	24.93	25.23	25.57
	19.04	16.4	21.87	20.68	18.63	15.24	14.25	12.3	13.39	12.91
	12	12.6	11.7	12.53	11.94	11.48	10.59	10.7	10.76	9.98
	9.68	9.69	9.93	25.06	23.98	19.56	21.09	32.6	33.2	30.67
	23.44	22.87	24.07	22.83	21.33	19.83	16.33	14.35	14.61	13.28
	13.04	14.73	19.7	24.54	30.86	46.04	49.39	45.46	39.83	42.07
	36.6	32.25	31.05	26.7	26.09	27.56	28.64	25.65	27.63	25.89
